OBJECTID,CBSAFP10,GEOID10,NAME10,NAMELSAD10,LSAD10,MEMI10,MTFCC10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,GISJOIN,F1900_mean,F1910_mean,F1920_mean,F1930_mean,F1940_mean,F1950_mean,F1960_mean,F1970_mean,F1980_mean,F1990_mean,F2000_mean,F2010_mean,F2020_mean,Shape_Leng,Shape_Area,InPoly_FID,SimPgnFlag,MaxSimpTol,MinSimpTol
"552","35340","35340","New Iberia, LA","New Iberia, LA Micro Area",M2,"2",G3110,1486940445,1182115443,"+29.6060126","-091.8427057",G35340,7.729767e-05,0.00011594651,0.00011594651,0.00019324418,0.00050243488,0.0011594651,0.00204838834,0.00371028832,0.00718868362,0.01070572776,0.02802040659,0.03922856922,0.1227873541,4.28410215871,0.15128534371,"569","0",0.00224830512,0.00224830512
"553","25220","25220","Hammond, LA","Hammond, LA Micro Area",M2,"2",G3110,2049391733,82862999,"+30.6215806","-090.4066332",G25220,0,0,0,0,0,0,0,3.009419e-05,0.00015047097,0.00021065936,0.00021065936,0.00033103614,0.2555298083,1.98093029556,0.19537929282,"570","0",0.00224830512,0.00224830512
"554","49020","49020","Winchester, VA-WV","Winchester, VA-WV Metro Area",M1,"1",G3110,2753098886,16605570,"+39.2729744","-078.4718276",G49020,0.01507050197,0.01809362662,0.0230569656,0.02808798646,0.03472081218,0.04451212634,0.05545403271,0.07027636774,0.09696559504,0.12306824591,0.14783981952,0.17346869712,0.18689227298,2.75265180083,0.28934831227,"571","0",0.00224830512,0.00224830512
"555","44860","44860","Sulphur Springs, TX","Sulphur Springs, TX Micro Area",M2,"2",G3110,1986971988,66297428,"+33.1489586","-095.5651936",G44860,0.00206995221,0.00413990442,0.00767099936,0.01275455846,0.02051687924,0.02852272381,0.03622416365,0.04952665063,0.06773005388,0.08544640955,0.10218867006,0.11737846641,0.13326839366,1.98499038197,0.1980294018,"572","0",0.00224830512,0.00224830512
"556","44500","44500","Stephenville, TX","Stephenville, TX Micro Area",M2,"2",G3110,2805141510,17445041,"+32.2381358","-098.2223769",G44500,0.00223599734,0.0032100952,0.00524684525,0.00659729909,0.00874474209,0.01098073943,0.01323887536,0.01678104937,0.02247066637,0.02968784592,0.03511179987,0.04427717512,0.05014390082,2.1122028781,0.26990064742,"573","0",0.00224830512,0.00224830512
"557","47380","47380","Waco, TX","Waco, TX Metro Area",M1,"1",G3110,2686079968,59905775,"+31.5494930","-097.2014721",G47380,0.0022530211,0.00664527435,0.01294918186,0.01975376072,0.03120092852,0.05015816663,0.06872852234,0.08536446599,0.11952390706,0.1539336838,0.18875310075,0.21367287954,0.29591952846,2.08836855541,0.26124080285,"574","0",0.00224830512,0.00224830512
"558","32580","32580","McAllen-Edinburg-Mission, TX","McAllen-Edinburg-Mission, TX Metro Area",M1,"1",G3110,4068521768,31191087,"+26.3963839","-098.1809900",G32580,1.524599e-05,9.147596e-05,0.0002591819,0.0012959095,0.00333887271,0.0173651873,0.03116281197,0.06041987468,0.11434495586,0.15046271592,0.17682303975,0.20124712232,0.21086734461,3.17839428808,0.37082331294,"575","0",0.00224830512,0.00224830512
"559","33260","33260","Midland, TX","Midland, TX Metro Area",M1,"1",G3110,2331764835,4533910,"+31.8708957","-102.0243264",G33260,0,0,0,0,0,0,2.675371e-05,2.675371e-05,5.350741e-05,5.350741e-05,5.350741e-05,8.026112e-05,0.00024078335,1.89382745377,0.22268644214,"576","0",0.00224830512,0.00224830512
"560","32220","32220","Marshall, TX","Marshall, TX Micro Area",M2,"2",G3110,2330861809,40928811,"+32.5479928","-094.3744253",G32220,0.00437417655,0.00653491436,0.0125428195,0.02424242424,0.03915678524,0.05291172596,0.06482213439,0.08102766798,0.11046113307,0.13546772068,0.16092226614,0.18068511199,0.21169960474,2.43363885786,0.22733494146,"577","0",0.00224830512,0.00224830512
"561","18620","18620","Corsicana, TX","Corsicana, TX Micro Area",M2,"2",G3110,2614922711,197639165,"+32.0484498","-096.4769075",G18620,0.00166651853,0.0030663941,0.00546618078,0.00866589636,0.01244333837,0.01682072705,0.01979824016,0.02459781353,0.0328415252,0.04701804284,0.06730512843,0.08883654786,0.12485556839,2.39768927377,0.26920412776,"578","0",0.00224830512,0.00224830512
"562","12100","12100","Atlantic City-Hammonton, NJ","Atlantic City-Hammonton, NJ Metro Area",M1,"1",G3110,1439267859,300755451,"+39.4693540","-074.6337584",G12100,0.04799965988,0.0570553973,0.07639981293,0.10348199481,0.12546235279,0.15564814421,0.19829088899,0.2344288083,0.27052421241,0.30496152375,0.33055567365,0.3541941244,0.41086688491,6.51617054493,0.15313594771,"579","0",0.00224830512,0.00224830512
"563","35620","35620","New York-Northern New Jersey-Long Island, NY-NJ-PA","New York-Northern New Jersey-Long Island, NY-NJ-PA Metro Area",M1,"1",G3110,17318990602,6538995619,"+40.7743217","-073.8744994",G35620,0.09180106487,0.12771404658,0.1586402864,0.19912855103,0.23030096288,0.26980102267,0.32603726341,0.37067528503,0.40525190432,0.44251883216,0.47710248493,0.49538251616,0.60358215464,45.4165486172,1.89431152854,"580","0",0.00224830512,0.00224830512
"564","34140","34140","Moscow, ID","Moscow, ID Micro Area",M2,"2",G3110,2786815890,2372731,"+46.8189202","-116.7309737",G34140,2.240846e-05,2.240846e-05,2.240846e-05,2.240846e-05,2.240846e-05,4.481692e-05,4.481692e-05,4.481692e-05,4.481692e-05,4.481692e-05,6.722538e-05,6.722538e-05,0.09050777574,2.54743169419,0.328992349,"581","0",0.00224830512,0.00224830512
"565","33540","33540","Missoula, MT","Missoula, MT Metro Area",M1,"1",G3110,6716936093,64479320,"+47.0272626","-113.8926807",G33540,0.00120741778,0.00237796785,0.00387111046,0.00544720543,0.00730902522,0.00905102492,0.01249815661,0.01808361599,0.03086749742,0.03744838519,0.04800176965,0.05446283734,0.06022341837,6.09645545598,0.80287809769,"582","0",0.00224830512,0.00224830512
"566","38540","38540","Pocatello, ID","Pocatello, ID Metro Area",M1,"1",G3110,6517009394,191313403,"+42.6897614","-112.5775299",G38540,0,9.31602e-06,9.31602e-06,9.31602e-06,9.31602e-06,9.31602e-06,8.384416e-05,0.00035400868,0.00123903039,0.00133219057,0.001555775,0.00159303907,0.00912038158,5.5191749944,0.73669853097,"583","0",0.00224830512,0.00224830512
